Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-04-01,,Smoothie,"Bordeaux Wine, Red",3.00 fl oz,74.97,9.35,0.0,0.71,0.0,76.28,0.0,0.03,0.2,0.03,0.05,0.0,0.88,0.07,0.0,0.0,0.0,0.35,7.06,0.01,,0.41,10.58,0.12,20.29,112.01,0.18,3.53,0.12,2.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,Beverages
2023-04-01,,Breakfast,Olivio Extra Virgin Olive Oil,2.00 tbsp,238.68,0.0,0.0,1.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,16.25,0.27,0.0,0.08,0.15,0.0,0.0,0.0,0.27,0.0,0.54,0.0,0.0,0.0,,,0.0,0.0,27.0,0.0,19.7,2.84,3.73,0.04,0.21,,,,2.64,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fats and Oils
2023-04-01,,Breakfast,"Macadamia Nuts, Raw",10.00 each,172.4,0.0,0.0,10.82,67.78,0.47,0.31,0.04,0.64,0.2,0.07,0.0,2.83,0.0,0.31,0.0,0.14,0.0,13.66,0.11,,0.48,27.57,2.91,53.6,96.12,8.4,0.0,0.31,6.21,1.95,1.94,0.01,0.27,1.18,16.73,0.0,13.0,0.33,2.66,0.0,0.05,0.05,0.0,0.0,0.29,0.0,0.29,0.0,0.05,0.08,0.15,0.0,0.01,0.17,2.01,0.09,0.02,0.13,0.09,Nut and Seed Products
2023-04-01,,Breakfast,"Peanut Butter, Unsalted",2.00 tbsp,192.85,0.0,0.0,51.28,142.87,0.4,0.05,0.06,4.23,0.37,0.14,0.0,28.06,0.0,0.0,0.0,2.93,0.1,15.8,0.14,0.23,0.56,54.18,0.54,108.04,179.95,1.32,5.48,0.81,7.19,1.61,1.51,0.0,1.15,3.38,16.56,0.0,8.37,4.04,3.33,0.02,0.01,0.01,0.0,0.0,3.95,0.01,3.94,0.07,0.18,0.2,0.5,0.22,0.09,0.39,7.16,0.17,0.07,0.27,0.25,Fats and Oils
2023-04-01,,Breakfast,"Coop, Ever Green Salad",2.00 Serving,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,24.0,6.0,,,,4.0,3.0,,,,0.0,,,,,,,,,,,,,,,,7.0,,,,,"Meals, Entrees, and Sidedishes"
2023-04-01,,Breakfast,Bison or Buffalo Meat,8.00 oz,394.63,0.0,0.0,0.25,0.0,147.6,0.37,0.83,14.69,3.28,1.49,4.11,43.09,0.0,0.0,63.5,0.48,3.18,11.34,0.48,,7.98,63.5,0.02,582.87,866.36,92.99,92.99,8.6,0.0,0.0,0.0,0.0,0.0,0.0,11.25,192.78,4.06,0.49,4.44,0.5,0.05,0.05,0.0,0.0,0.43,0.05,0.38,0.82,2.51,3.3,5.87,6.35,1.85,2.91,68.45,3.1,0.52,2.33,3.68,"Lamb, Veal, and Game Products"
2023-04-01,,Breakfast,"Peas, Sugar-Snap, Raw",250.00 g,86.58,,,,,217.75,0.43,0.35,1.75,,0.45,0.0,17.5,82.5,80.0,0.0,,,135.0,0.25,,2.0,62.5,1.0,132.5,375.0,,10.0,1.5,12.5,,,,3.25,9.25,0.5,0.0,,,,,,,,,,,,,,,,,,,8.5,,,,,Vegetables and Vegetable Products
2023-04-01,,Breakfast,"Pei Wei, Mixed Salad Greens",2.00 Serving,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,4.0,0.0,,,,4.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,,"Meals, Entrees, and Sidedishes"
2023-04-01,,Breakfast,"Beets, Boiled, Drained",150.00 g,66.0,0.0,0.0,72.45,7.83,130.59,0.04,0.06,0.5,0.22,0.1,0.0,120.0,2.63,5.4,0.0,0.06,0.3,24.0,0.11,,1.19,34.5,0.49,57.0,457.5,1.05,115.5,0.52,14.94,3.0,2.25,0.93,0.8,11.94,0.27,0.0,0.05,0.1,0.04,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.08,0.11,0.09,0.03,0.07,2.52,0.07,0.03,0.06,0.09,Vegetables and Vegetable Products
2023-04-01,,Breakfast,"Coop, Grilled Vegetables",2.00 Serving,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,16.8,6.8,,,,5.6,7.4,,,,1.0,,,,,,,,,,,,,,,,3.6,,,,,Vegetables and Vegetable Products
